ImageId,Label
1,0
2,3
3,1
4,3
5,7
6,6
7,3
8,1
9,0
10,4
11,1
12,2
13,8
14,5
15,0
16,2
17,9
18,6
19,5
20,1
21,7
22,2
23,5
24,5
25,2
26,9
27,0
28,2
29,4
30,7
31,1
32,8
33,6
34,1
35,7
36,6
37,0
38,3
39,2
40,6
41,3
42,8
43,6
44,7
45,4
46,7
47,7
48,0
49,5
50,0
51,9
52,2
53,2
54,0
55,6
56,9
57,8
58,3
59,1
60,5
61,3
62,5
63,7
64,1
65,6
66,2
67,7
68,5
69,3
70,6
71,5
72,5
73,8
74,1
75,7
76,3
77,2
78,5
79,2
80,6
81,0
82,1
83,3
84,2
85,6
86,1
87,8
88,2
89,4
90,6
91,1
92,1
93,6
94,3
95,1
96,3
97,5
98,8
99,8
100,8
101,4
102,7
103,8
104,9
105,8
106,4
107,9
108,4
109,4
110,0
111,2
112,4
113,4
114,2
115,1
116,5
117,5
118,8
119,7
120,8
121,0
122,4
123,1
124,0
125,1
126,4
127,3
128,5
129,5
130,1
131,1
132,3
133,6
134,7
135,9
136,3
137,9
138,9
139,5
140,0
141,9
142,6
143,3
144,7
145,3
146,6
147,9
148,2
149,2
150,0
151,0
152,6
153,1
154,8
155,7
156,8
157,5
158,8
159,2
160,7
161,3
162,6
163,1
164,6
165,0
166,5
167,5
168,1
169,3
170,2
171,0
172,4
173,4
174,7
175,5
176,6
177,9
178,4
179,7
180,4
181,1
182,6
183,0
184,5
185,2
186,4
187,6
188,8
189,4
190,3
191,6
192,8
193,8
194,6
195,6
196,3
197,2
198,6
199,3
200,2
201,2
202,9
203,5
204,0
205,5
206,3
207,5
208,2
209,5
210,3
211,3
212,1
213,7
214,1
215,7
216,4
217,5
218,1
219,5
220,0
221,3
222,5
223,8
224,1
225,1
226,8
227,7
228,1
229,3
230,1
231,8
232,7
233,5
234,4
235,8
236,0
237,9
238,4
239,0
240,5
241,8
242,7
243,9
244,8
245,0
246,4
247,5
248,4
249,3
250,6
251,3
252,9
253,5
254,9
255,3
256,2
257,2
258,1
259,7
260,1
261,8
262,1
263,0
264,7
265,5
266,9
267,8
268,5
269,6
270,3
271,0
272,2
273,5
274,3
275,8
276,0
277,3
278,8
279,7
280,4
281,5
282,1
283,0
284,8
285,1
286,3
287,7
288,0
289,9
290,8
291,0
292,1
293,6
294,5
295,2
296,8
297,5
298,4
299,8
300,0
301,9
302,6
303,3
304,8
305,1
306,6
307,1
308,0
309,8
310,9
311,3
312,1
313,9
314,3
315,0
316,2
317,6
318,6
319,2
320,5
321,0
322,9
323,7
324,1
325,6
326,3
327,8
328,7
329,0
330,1
331,4
332,7
333,0
334,4
335,4
336,4
337,9
338,2
339,4
340,2
341,2
342,1
343,5
344,9
345,2
346,6
347,7
348,5
349,7
350,6
351,3
352,4
353,5
354,2
355,2
356,0
357,4
358,9
359,7
360,3
361,7
362,5
363,0
364,3
365,1
366,5
367,7
368,4
369,1
370,7
371,7
372,3
373,3
374,0
375,6
376,9
377,1
378,4
379,3
380,1
381,7
382,7
383,9
384,6
385,9
386,2
387,4
388,5
389,6
390,9
391,3
392,7
393,3
394,1
395,4
396,9
397,2
398,0
399,6
400,0
401,4
402,4
403,8
404,9
405,2
406,4
407,3
408,2
409,7
410,0
411,8
412,8
413,4
414,1
415,9
416,5
417,1
418,3
419,5
420,5
421,7
422,8
423,8
424,1
425,1
426,6
427,4
428,6
429,1
430,2
431,9
432,0
433,8
434,2
435,7
436,5
437,0
438,8
439,7
440,0
441,4
442,6
443,2
444,6
445,6
446,1
447,5
448,4
449,5
450,1
451,3
452,0
453,7
454,4
455,3
456,3
457,4
458,3
459,9
460,5
461,1
462,3
463,3
464,5
465,5
466,9
467,8
468,9
469,7
470,4
471,6
472,4
473,6
474,3
475,3
476,5
477,3
478,8
479,6
480,6
481,1
482,0
483,7
484,7
485,8
486,5
487,0
488,2
489,2
490,4
491,4
492,8
493,7
494,6
495,8
496,7
497,8
498,3
499,8
500,5
501,5
502,2
503,2
504,3
505,4
506,2
507,1
508,9
509,0
510,0
511,2
512,7
513,1
514,0
515,0
516,4
517,8
518,6
519,7
520,7
521,5
522,2
523,1
524,8
525,1
526,4
527,5
528,8
529,6
530,3
531,8
532,4
533,8
